"SECONDS";"PID";"VALUE";"UNITS"
"26,6890285";"zurückgelegte Strecke";"0";"km"
"26,6894109";"Fahrzeugbeschleunigung";"0";"m_sec2"
"26,6913537";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"26,6931253";"Durchschnittsgeschwindigkeit";"0";"km/h"
"26,6938056";"zurückgelegte Strecke (gesamt)";"0";"km"
"26,9315509";"Kühlmitteltemperatur";"60";"℃"
"27,1684574";"Motordrehzahl";"869";"rpm"
"27,1690335";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"27,1701316";"verbrauchte Spritmenge";"0";"l"
"27,1702622";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"27,1718876";"verbrauchte Spritmenge (gesamt)";"0";"l"
"27,1719966";"Treibstoffkosten";"0";"€"
"27,1819667";"Treibstoffkosten (gesamt)";"0";"€"
"27,4132305";"Geschwindigkeit";"0";"km/h"
"27,4142372";"zurückgelegte Strecke";"0";"km"
"27,4144099";"Fahrzeugbeschleunigung";"0";"m_sec2"
"27,4151123";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"27,4152428";"Durchschnittsgeschwindigkeit";"0";"km/h"
"27,4153328";"zurückgelegte Strecke (gesamt)";"0";"km"
"28,3316636";"Kühlmitteltemperatur";"60";"℃"
"28,5624029";"Motordrehzahl";"878";"rpm"
"28,5632757";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"28,5644315";"verbrauchte Spritmenge";"0";"l"
"28,5645175";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"28,5661174";"verbrauchte Spritmenge (gesamt)";"0";"l"
"28,5662038";"Treibstoffkosten";"0";"€"
"28,583226";"Treibstoffkosten (gesamt)";"0";"€"
"28,7921196";"Geschwindigkeit";"0";"km/h"
"28,7927647";"zurückgelegte Strecke";"0";"km"
"28,792919";"Fahrzeugbeschleunigung";"0";"m_sec2"
"28,7936913";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"28,7938318";"Durchschnittsgeschwindigkeit";"0";"km/h"
"28,7939205";"zurückgelegte Strecke (gesamt)";"0";"km"
"29,0313394";"Kühlmitteltemperatur";"60";"℃"
"29,2602173";"Motordrehzahl";"877";"rpm"
